paragraph_id,doc_id,paragraph_number,paragraph_hash,source,institution,doc_type,date,year,title,url,celex,language,paragraph_text,paragraph_model,paragraph_nchar,paragraph_n_words,innovation_emphasis,rights_emphasis,rights_substance,coder_notes
c72d8f4f6cab8324_p00001,c72d8f4f6cab8324,1,ccb3786d51f44f29,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"The annual NIS Investments report presents the findings of a study conducted by ENISA to explore how cybersecurity policy translates in practice across organisations in the EU and its effects on their investments, resources, and operations.…",the annual nis investments report presents the findings of a study conducted by enisa to explore how cybersecurity policy translates in practice across organisations in the eu and its effects on their investments resources and operations,241,36,NA,NA,NA,NA
c72d8f4f6cab8324_p00002,c72d8f4f6cab8324,2,42622bf482810f53,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"Through a more threat-centric approach and further contextual analysis, this latest edition of the ENISA Threat Landscape analyses 4875 incidents over a period spanning from 1 July 2024 to 30 June 2025. At its core, this report provides an…",through a more threat centric approach and further contextual analysis this latest edition of the enisa threat landscape analyses incidents over a period spanning from july to june at its core this report provides an,240,39,NA,NA,NA,NA
c72d8f4f6cab8324_p00003,c72d8f4f6cab8324,3,7d90ea921ea07586,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"This report provides technical guidance to support the implementation of the NIS2 Directive for several types of entities in the NIS2 digital infrastructure, ICT service management and digital providers sectors. The cybersecurity requirements for…",this report provides technical guidance to support the implementation of the nis directive for several types of entities in the nis digital infrastructure ict service management and digital providers sectors the cybersecurity requirements for,247,34,NA,NA,NA,NA
c72d8f4f6cab8324_p00004,c72d8f4f6cab8324,4,cbd37b2b9515843a,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,Artificial Intelligence and Next Gen Technologies (18) Awareness and Cyber Hygiene (17) Certification and Standards (12) Cyber Hygiene (1) (-) Cybersecurity of Critical Sectors (49) Cyber Threats (51) Digital Identity and Data Protection (59) EU incident response and cyber crisis management (30) Incident management (10) Market (20) Product Security and Certification (13) Risk Management (4) Skills and competences (21),artificial intelligence and next gen technologies awareness and cyber hygiene certification and standards cyber hygiene cybersecurity of critical sectors cyber threats digital identity and data protection eu incident response and cyber crisis management incident management market product security and certification risk management skills and competences,421,59,NA,NA,NA,NA
c72d8f4f6cab8324_p00005,c72d8f4f6cab8324,5,a66bc42bc281d8ae,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"This booklet, developed by ENISA, provides clear and targeted guidance with practical steps that health entities can take to:- Safeguard sensitive data- Minimise exposure to common cyber threats-- Strengthen overall cyber…",this booklet developed by enisa provides clear and targeted guidance with practical steps that health entities can take to safeguard sensitive data minimise exposure to common cyber threats strengthen overall cyber,222,31,NA,NA,NA,NA
c72d8f4f6cab8324_p00006,c72d8f4f6cab8324,6,e675db019cd5cadd,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"ENISA in line with articles 6 and 10 of the Cybersecurity Act , prepared this guidance document on the skills and roles for the cybersecurity professionals needed to meet these legal requirements effectively. The guidance is based on the…",enisa in line with articles and of the cybersecurity act prepared this guidance document on the skills and roles for the cybersecurity professionals needed to meet these legal requirements effectively the guidance is based on the,238,39,NA,NA,NA,NA
c72d8f4f6cab8324_p00007,c72d8f4f6cab8324,7,4ddaa24efa806582,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"ENISA developed this handbook as guidance for national or sectorial authorities overseeing cybersecurity and resilience of critical sectors, at the national level, regional or EU level under NIS 2 Directive. It could also be useful for other…",enisa developed this handbook as guidance for national or sectorial authorities overseeing cybersecurity and resilience of critical sectors at the national level regional or eu level under nis directive it could also be useful for other,242,37,NA,NA,NA,NA
c72d8f4f6cab8324_p00008,c72d8f4f6cab8324,8,f5cf8ffbe3aa9d68,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"This report explores the cybersecurity of Low Earth Orbit (LEO) constellations providing telecommunications services (LEO satcom). Examining various threats and risks-technical, financial, or commercial the landscape of potential attacks is vast…",this report explores the cybersecurity of low earth orbit leo constellations providing telecommunications services leo satcom examining various threats and risks technical financial or commercial the landscape of potential attacks is vast,246,31,NA,NA,NA,NA
c72d8f4f6cab8324_p00009,c72d8f4f6cab8324,9,b8854fc8f3c4601e,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,"This report aims to follow up with detailed technical guidelines for national authorities and to support them with the technical aspects of the supervision of undersea cables and their associated infrastructure, including landing stations and…",this report aims to follow up with detailed technical guidelines for national authorities and to support them with the technical aspects of the supervision of undersea cables and their associated infrastructure including landing stations and,243,35,NA,NA,NA,NA
c72d8f4f6cab8324_p00010,c72d8f4f6cab8324,10,d09fc787cab9e1d4,enisa,ENISA,Discovered URL,NA,NA,Cybersecurity of Critical Sectors (49),https://www.enisa.europa.eu/publications?f%5B0%5D=topics%3A528,NA,EN,This is the first analysis conducted by the European Union Agency for Cybersecurity (ENISA) of the cyber threat landscape of the health sector in the EU. The report aims to bring new insights into the reality of the health sector by mapping and…,this is the first analysis conducted by the european union agency for cybersecurity enisa of the cyber threat landscape of the health sector in the eu the report aims to bring new insights into the reality of the health sector by mapping and,245,43,NA,NA,NA,NA
