celex,title,date,institution,doc_type
52021PC0206,AI Act proposal (COM(2021) 206),2021-04-21,European Commission,Commission proposal
32024R1689,Artificial Intelligence Act Regulation (EU) 2024/1689,2024-07-12,European Parliament and Council,Regulation
52020DC0065,White Paper on Artificial Intelligence,2020-02-19,European Commission,White Paper
52018DC0237,Artificial Intelligence for Europe,2018-04-25,European Commission,Communication
52018DC0795,Coordinated Plan on Artificial Intelligence,2018-12-07,European Commission,Communication
52021DC0205,Fostering a European approach to Artificial Intelligence,2021-04-21,European Commission,Communication
32016R0679,General Data Protection Regulation,2016-04-27,European Parliament and Council,Regulation
32022R0868,Data Governance Act,2022-05-30,European Parliament and Council,Regulation
32023R2854,Data Act,2023-12-13,European Parliament and Council,Regulation
32024R1689,AI Act,2024-06-13,European Parliament and Council,Regulation
52021PC0206,AI Act Proposal,2021-04-21,European Commission,Proposal
52018DC0237,AI for Europe Communication,2018-04-25,European Commission,Communication
52018DC0795,Coordinated Plan on AI 2018,2018-12-07,European Commission,Communication
52021DC0205,Fostering Human-Centric AI,2021-04-21,European Commission,Communication
52020DC0065,White Paper on AI,2020-02-19,European Commission,White Paper
32022R0868,Data Governance Act,2022-05-30,European Parliament and Council,Regulation
32023R2854,Data Act,2023-12-13,European Parliament and Council,Regulation
32016R0679,GDPR,2016-04-27,European Parliament and Council,Regulation
52020IP0275,EP Resolution on AI in Education,2020-10-20,European Parliament,Resolution
52021IP0238,EP Resolution on AI in Criminal Law,2021-10-06,European Parliament,Resolution
52023IP0197,EP Resolution on AI Act,2023-06-14,European Parliament,Resolution
52022IP0140,EP Resolution on AI in Digital Age,2022-05-03,European Parliament,Resolution
