"doc_id","institution","doc_type","title","n_paragraphs","innov_share","rights_share","subst_share","rhet_share","none_share","balance_strict","balance_lenient"
"0e0aebd343d63ef7","European Commission","Discovered URL","Commission makes €63.2 million available to support AI innovation in health and online safety",3,1,0,0,0,1,-1,-1
"12261c2809600d9f","European Commission","Discovered URL","AI Continent Action Plan delivers major milestones",2,1,0.5,0,0.5,0.5,-1,-0.75
"167d6119a8c618d9","European Commission","Discovered URL","building strategic leadership",4,1,0.5,0,0.5,0.5,-1,-0.75
"47166c22cdbb868d","European Commission","Discovered URL","Robotics",6,1,0.167,0,0.167,0.833,-1,-0.917
"631462a4e358cb09","European Commission","Discovered URL","AI Excellence: Enabling conditions for AI’s development and uptake",3,1,0.333,0,0.333,0.667,-1,-0.833
"9b907ceb0f8878b1","European Commission","Discovered URL","AI Continent action plan",1,1,0,0,0,1,-1,-1
"bc3355f5457c1959","European Commission","Discovered URL","High-level expert group on artificial intelligence",2,1,0.5,0,1,0,-1,-0.5
"d8f24eabd949d8d8","European Commission","Discovered URL","Artificial Intelligence in Health",4,1,0,0,0,1,-1,-1
"dd1ed82b92acb8ce","European Commission","Discovered URL","AI Factories and gigafactories",4,1,0.5,0,0.75,0.25,-1,-0.625
"e0735826d3c6f791","European Commission","Discovered URL","Data Union Strategy",7,1,0.286,0,0.429,0.571,-1,-0.786
"e6dd775477670b8c","European Commission","Discovered URL","The rise of the intelligent edge – Insights into MetaOS",3,1,0,0,0.333,0.667,-1,-0.833
"ed91522536ab7383","European Data Protection Supervisor","Discovered URL","Data Protection Day 2026: Reset or refine?",1,1,1,0,1,0,-1,-0.5
"fb95a5c5ae38ffcf","European Commission","Discovered URL","Communication on boosting startups and innovation in trustworthy artificial intelligence",3,1,0.667,0,1,0,-1,-0.5
"feee051188ba7008","European Commission","Discovered URL","The Action Plan",2,1,0,0,0.5,0.5,-1,-0.75
"ff3b5910b166bab2","European Commission","Discovered URL","European research development and deployment of AI",11,1,0.091,0,0.091,0.909,-1,-0.955
"fc697de00822174b","European Commission","Discovered URL","Communication: AI made in Europe",18,1,0.389,0.056,0.444,0.5,-0.944,-0.722
"998a82e259359b27","European Commission","Discovered URL","GenAI4EU",16,1,0.188,0.062,0.375,0.562,-0.938,-0.75
"8a24b28070171d94","European Commission","Discovered URL","AI Continent Action Plan",8,0.875,0.125,0,0.125,0.875,-0.875,-0.812
"1e061b5a4987377d","European Commission","Discovered URL","AI thrives from the lab to the market",7,1,0.286,0.143,0.143,0.714,-0.857,-0.786
"6eb7908a8577570e","European Commission","Discovered URL","European AI Innovation Month",6,0.833,0.167,0,0.167,0.833,-0.833,-0.75
